date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-03,all,unknown,4,3564,NA,NA,NA,6,NA,23.53,52.27,34.96,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-04,all,fully_vaccinated,3,171,2117597,0.14,NA,1,0.05,12,2.5,5.24,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-04,all,partially_vaccinated,0,164,1253716,0,NA,0.57,0.05,0,2.4,4.39,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-04,all,not_vaccinated,17,2940,5338042,0.32,NA,10.14,0.19,68,42.96,58.69,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-04,all,unknown,5,3569,NA,NA,NA,5.14,NA,20,52.15,31.67,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-05,all,fully_vaccinated,1,172,2147978,0.05,NA,1.29,0.06,7.69,2.51,7.84,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-05,all,partially_vaccinated,2,166,1268144,0.16,NA,0.71,0.06,15.38,2.42,5.69,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-05,all,not_vaccinated,8,2948,5293233,0.15,NA,9.14,0.17,61.54,42.99,56.71,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-05,all,unknown,2,3571,NA,NA,NA,4.57,NA,15.38,52.08,29.75,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-06,all,fully_vaccinated,0,172,2160219,0,NA,2,0.09,0,2.5,12.94,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-06,all,partially_vaccinated,1,167,1271938,0.08,NA,0.57,0.04,7.69,2.43,4.59,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-06,all,not_vaccinated,6,2954,5277198,0.11,NA,9.14,0.17,46.15,43,56.24,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-06,all,unknown,6,3577,NA,NA,NA,4.14,NA,46.15,52.07,26.22,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-07,all,fully_vaccinated,2,174,2210805,0.09,NA,2.14,0.1,11.11,2.53,14.48,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-07,all,partially_vaccinated,0,167,1275430,0,NA,0.57,0.04,0,2.42,4.59,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-07,all,not_vaccinated,9,2963,5223120,0.17,NA,7.57,0.14,50,43.02,47.35,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-07,all,unknown,7,3584,NA,NA,NA,4.86,NA,38.89,52.03,33.58,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-08,all,fully_vaccinated,2,176,2268723,0.09,NA,1.71,0.08,18.18,2.55,12.77,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-08,all,partially_vaccinated,1,168,1275152,0.08,NA,0.57,0.04,9.09,2.44,4.59,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-08,all,not_vaccinated,6,2969,5165480,0.12,NA,6,0.12,54.55,43.04,47.16,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-06-08,all,unknown,2,3586,NA,NA,NA,4.57,NA,18.18,51.98,35.48,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
